all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,178192,302960,673,947,617,127962


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,Mostly they require tight fitting clothing so they can see when that your muscles are working properly and so on .



"pos from 副词 to 符号
"


"pos from 副词 to 动词
"


"pos from 副词 to 其他
"


"pos from 助词 to 形容
"


"pos from 助词 to 介词
"


"pos from 助词 to 副词
"


"pos from 助词 to 助词
"


"pos from 助词 to 并列连词
"


"pos from 助词 to 定冠
"


"pos from 助词 to 感叹
"


"pos from 助词 to 名词
"


"pos from 助词 to 数字
"


"pos from 助词 to 功能
"


"pos from 助词 to 代词
"


"pos from 助词 to 特指名词
"


"pos from 助词 to 标点
"


"pos from 助词 to 从句连词
"


"pos from 助词 to 符号
"


"pos from 助词 to 动词
"


"pos from 助词 to 其他
"


"pos from 并列连词 to 形容
"


"pos from 并列连词 to 介词
"


"pos from 并列连词 to 副词
"


"pos from 并列连词 to 助词
"


"pos from 并列连词 to 并列连词
"


"pos from 并列连词 to 定冠
"
original sentence,"F-E focuses attention on the message itself , in both form and content ."
wrong word,both 10
mutation sentence,"F-E focuses attention on the message itself , in both form and in content ."
mutation sentence,"F-E focuses attention on the message itself , in both form and its content ."
mutation sentence,"F-E focuses attention on the message itself , in both form and content itself ."
mutation sentence,"F-E focuses attention on the message itself , in both form and content respectively ."

original sentence,And afterwards either infected them or not . Then for about two weeks we count every day how many ants died .
wrong word,either 3
mutation sentence,And they afterwards either infected them or not . Then for about two weeks we count every day how many ants died .

original sentence,Great care is shown to both guests and the environment .
wrong word,both 6
mutation sentence,Great care is being shown to both guests and the environment .
mutation sentence,Great care is therefore shown to both guests and the environment .
mutation sentence,Great care is shown here to both guests and the environment .
mutation sentence,Great care is shown equally to both guests and the environment .
mutation sentence,Great care is shown also to both guests and the environment .
mutation sentence,Great care is shown overall to both guests and the environment .
mutation sentence,Great care is shown especially to both guests and the environment .
mutation sentence,Great care is shown to both guests themselves and the environment .
mutation sentence,Great care is shown to both guests and the immediate environment .
mutation sentence,Great care is shown to both guests and the external environment .
mutation sentence,Great care is shown to both guests and the environment itself .
mutation sentence,Great care is shown to both guests and the environment here .
mutation sentence,Great care is shown to both guests and the environment overall .
mutation sentence,Great care is shown to both guests and the environment nearby .
mutation sentence,Great care is shown to both guests and the environment involved .



"pos from 并列连词 to 感叹
"


"pos from 并列连词 to 名词
"


"pos from 并列连词 to 数字
"


"pos from 并列连词 to 功能
"


"pos from 并列连词 to 代词
"


"pos from 并列连词 to 特指名词
"


"pos from 并列连词 to 标点
"


"pos from 并列连词 to 从句连词
"


"pos from 并列连词 to 符号
"


"pos from 并列连词 to 动词
"


"pos from 并列连词 to 其他
"


"pos from 定冠 to 形容
"


"pos from 定冠 to 介词
"


"pos from 定冠 to 副词
"


"pos from 定冠 to 助词
"


"pos from 定冠 to 并列连词
"
original sentence,to give information on both form and content ;
wrong word,both 5
mutation sentence,to also give information on both form and content ;
mutation sentence,to systematically give information on both form and content ;
mutation sentence,to explicitly give information on both form and content ;
mutation sentence,to freely give information on both form and content ;
mutation sentence,to give detailed information on both form and content ;
mutation sentence,to give additional information on both form and content ;
mutation sentence,to give information both on both form and content ;
mutation sentence,to give information on both form and actual content ;
mutation sentence,to give information on both form and specific content ;
mutation sentence,to give information on both form and technical content ;

original sentence,"Also , an independent who does not claim to belong to either camp , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."
wrong word,either 12
mutation sentence,"Also , an independent who does not claim to belong to either camp proper , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."
mutation sentence,"Also , an independent who does not claim to belong to either camp though , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."



"pos from 定冠 to 定冠
"


"pos from 定冠 to 感叹
"


"pos from 定冠 to 名词
"


"pos from 定冠 to 数字
"


"pos from 定冠 to 功能
"


"pos from 定冠 to 代词
"


"pos from 定冠 to 特指名词
"


"pos from 定冠 to 标点
"


"pos from 定冠 to 从句连词
"


"pos from 定冠 to 符号
"


"pos from 定冠 to 动词
"


"pos from 定冠 to 其他
"


"pos from 感叹 to 形容
"


"pos from 感叹 to 介词
"


"pos from 感叹 to 副词
"


"pos from 感叹 to 助词
"


"pos from 感叹 to 并列连词
"


"pos from 感叹 to 定冠
"


"pos from 感叹 to 感叹
"


"pos from 感叹 to 名词
"


"pos from 感叹 to 数字
"


"pos from 感叹 to 功能
"


"pos from 感叹 to 代词
"


"pos from 感叹 to 特指名词
"


"pos from 感叹 to 标点
"


"pos from 感叹 to 从句连词
"


"pos from 感叹 to 符号
"


"pos from 感叹 to 动词
"
original sentence,“ Snap ! ” Pete said .
wrong word,Snap 2
mutation sentence,“ Snap ! . ” Pete said .
mutation sentence,“ Snap ! ” Uncle Pete said .
mutation sentence,“ Snap ! ” Master Pete said .



"pos from 感叹 to 其他
"


"pos from 名词 to 形容
"
original sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognition , for the improvement of cognitive functions ."
wrong word,fun 25
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and human cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and social cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognitive cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and rational cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and normal cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and scientific cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and real cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and ordinary cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and general cognition , for the improvement of cognitive functions ."

original sentence,"Nonetheless , this does not mean that tail reduction had no effect on CoM displacement , but that it was not the most important factor ."
wrong word,tail 8
mutation sentence,"Nonetheless , this does not mean that tail reduction has had no effect on CoM displacement , but that it was not the most important factor ."

original sentence,"Despite his clear potential and popularity , Pachomius refused to grant Theodorus any kind of authority ; though the old man 's failing health soon changed things forever ."
wrong word,potential 4
mutation sentence,"Despite his clear potential and great popularity , Pachomius refused to grant Theodorus any kind of authority ; though the old man 's failing health soon changed things forever ."

original sentence,She lay tense in the dark .
wrong word,dark 6
mutation sentence,She lay tense in all the dark .

original sentence,Her voice was listless in the dark and she was even harder to understand when I could n't see her properly .
wrong word,dark 7
mutation sentence,Her voice was listless in all the dark and she was even harder to understand when I could n't see her properly .

original sentence,"This common black ant eats other insects , and also aphid honeydew ."
wrong word,aphid 11
mutation sentence,"This common black ant eats other insects , and often also aphid honeydew ."

original sentence,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants ."
wrong word,wild 3
mutation sentence,"In the wild , young Formica fusca can encounter similar chemicals in aphids and dead ants ."

original sentence,I do wear a lot of black .
wrong word,black 7
mutation sentence,I do wear a lot not of black .

original sentence,"First , people around the world are desperate for high quality how-to information ."
wrong word,quality 11
mutation sentence,"First , people around the world are desperate for high quality how-to training information ."
mutation sentence,"First , people around the world are desperate for high quality how-to education information ."

original sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
wrong word,downtown 33
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to personally witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to peacefully witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to eagerly witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to visually witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."

original sentence,"Stir-fry , using the quinoa as a substitute for rice ."
wrong word,Stir-fry 1
mutation sentence,"Stir-fry , using in the quinoa as a substitute for rice ."



"pos from 名词 to 介词
"


"pos from 名词 to 副词
"
original sentence,"Well that ’s kind of an unending war , so do we want NATO to exist , do we want there to be a Western military alliance that carries out these activities , with no pretense of defense ?"
wrong word,kind 4
mutation sentence,"Well that ’s kind of like an unending war , so do we want NATO to exist , do we want there to be a Western military alliance that carries out these activities , with no pretense of defense ?"



"pos from 名词 to 助词
"


"pos from 名词 to 并列连词
"


"pos from 名词 to 定冠
"


"pos from 名词 to 感叹
"
original sentence,"“ That ’s leprechauns , idiot ! ” said the voice from my noise ."
wrong word,idiot 6
mutation sentence,"“ That ’s leprechauns too , idiot ! ” said the voice from my noise ."
mutation sentence,"“ That ’s leprechauns here , idiot ! ” said the voice from my noise ."



"pos from 名词 to 名词
"


"pos from 名词 to 数字
"
original sentence,"The central idea is to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
wrong word,one 22
mutation sentence,"The central idea is to first apply rules to the smallest applicable unit , then to the smallest unit containing all that one , and so on . [ 5 ]"

original sentence,"At an elevation of 1100 ft ( 335 m ) , it is situated in the biologically unique Sonoran Desert ."
wrong word,m 9
mutation sentence,"At an elevation of 1100 ft ( approximately 335 m ) , it is situated in the biologically unique Sonoran Desert ."



"pos from 名词 to 功能
"


"pos from 名词 to 代词
"


"pos from 名词 to 特指名词
"


"pos from 名词 to 标点
"


"pos from 名词 to 从句连词
"


"pos from 名词 to 符号
"


"pos from 名词 to 动词
"
original sentence,"The cars "" will "" be warranted and safe , but they wo n't be exceptionally "" flash "" ."
wrong word,flash 18
mutation sentence,"The cars "" will "" be warranted and safe , but they wo n't be exceptionally "" flash "" them ."



"pos from 名词 to 其他
"


"pos from 数字 to 形容
"


"pos from 数字 to 介词
"


"pos from 数字 to 副词
"


"pos from 数字 to 助词
"


"pos from 数字 to 并列连词
"


"pos from 数字 to 定冠
"


"pos from 数字 to 感叹
"


"pos from 数字 to 名词
"


"pos from 数字 to 数字
"


"pos from 数字 to 功能
"


"pos from 数字 to 代词
"


"pos from 数字 to 特指名词
"


"pos from 数字 to 标点
"


"pos from 数字 to 从句连词
"


"pos from 数字 to 符号
"


"pos from 数字 to 动词
"


"pos from 数字 to 其他
"
original sentence,"1 Quaffle ( volleyball , Frisbee , soccer ball , etc . )"
wrong word,1 1
mutation sentence,"1 Quaffle ! ( volleyball , Frisbee , soccer ball , etc . )"



"pos from 功能 to 形容
"


"pos from 功能 to 介词
"
original sentence,"His first campaign raised funds for To Write Love On Her Arms , which supports people struggling with depression , addiction , self-injury , and suicide ."
wrong word,To 7
mutation sentence,"His first campaign raised foundation funds for To Write Love On Her Arms , which supports people struggling with depression , addiction , self-injury , and suicide ."



"pos from 功能 to 副词
"
original sentence,"So they rescinded their pledge not to use nuclear weapons on first strike , NATO had never rescinded it , but they had and started some remilitarization ."
wrong word,not 6
mutation sentence,"So they rescinded their peace pledge not to use nuclear weapons on first strike , NATO had never rescinded it , but they had and started some remilitarization ."

original sentence,It is important not to touch the luminol .
wrong word,not 4
mutation sentence,It is very important not to touch the luminol .
mutation sentence,It is more important not to touch the luminol .



"pos from 功能 to 助词
"


"pos from 功能 to 并列连词
"


"pos from 功能 to 定冠
"


"pos from 功能 to 感叹
"


"pos from 功能 to 名词
"


"pos from 功能 to 数字
"


"pos from 功能 to 功能
"


"pos from 功能 to 代词
"


"pos from 功能 to 特指名词
"


"pos from 功能 to 标点
"


"pos from 功能 to 从句连词
"
original sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting bestiality ."
wrong word,to 20
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing permanent same-sex marriage in the United States to supporting bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting male bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting female bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting legal bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting universal bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting gay bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting Christian bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting domestic bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting voluntary bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting religious bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting bestiality itself ."



"pos from 功能 to 符号
"


"pos from 功能 to 动词
"


"pos from 功能 to 其他
"


"pos from 代词 to 形容
"


"pos from 代词 to 介词
"


"pos from 代词 to 副词
"


"pos from 代词 to 助词
"


"pos from 代词 to 并列连词
"


"pos from 代词 to 定冠
"


"pos from 代词 to 感叹
"


"pos from 代词 to 名词
"


"pos from 代词 to 数字
"


"pos from 代词 to 功能
"


"pos from 代词 to 代词
"


"pos from 代词 to 特指名词
"


"pos from 代词 to 标点
"


"pos from 代词 to 从句连词
"


"pos from 代词 to 符号
"


"pos from 代词 to 动词
"


"pos from 代词 to 其他
"


"pos from 特指名词 to 形容
"
original sentence,Padalecki and Supernatural co-stars Jensen Ackles and Misha Collins supported Beto O'Rourke for the 2018 Senate election in Texas . [ 19 ]
wrong word,Supernatural 3
mutation sentence,Padalecki and Supernatural co-stars Jensen Ackles and Misha Collins have supported Beto O'Rourke for the 2018 Senate election in Texas . [ 19 ]
mutation sentence,Padalecki and Supernatural co-stars Jensen Ackles and Misha Collins had supported Beto O'Rourke for the 2018 Senate election in Texas . [ 19 ]
mutation sentence,Padalecki and Supernatural co-stars Jensen Ackles and Misha Collins has supported Beto O'Rourke for the 2018 Senate election in Texas . [ 19 ]
mutation sentence,Padalecki and Supernatural co-stars Jensen Ackles and Misha Collins supported Beto O'Rourke for the 2018 Senate election in Texas . ] [ 19 ]

original sentence,"The English wikiHow has only 60 admins , compared to the 1000 + on English Wikipedia ."
wrong word,English 2
mutation sentence,"The English wikiHow also has only 60 admins , compared to the 1000 + on English Wikipedia ."



"pos from 特指名词 to 介词
"


"pos from 特指名词 to 副词
"


"pos from 特指名词 to 助词
"


"pos from 特指名词 to 并列连词
"


"pos from 特指名词 to 定冠
"


"pos from 特指名词 to 感叹
"


"pos from 特指名词 to 名词
"


"pos from 特指名词 to 数字
"
original sentence,Lao ( Laos ) [ CONV_050815c_03.10 ]
wrong word,CONV_050815c_03.10 6
mutation sentence,Lao ( Laos ? ) [ CONV_050815c_03.10 ]
mutation sentence,Lao ( Laos . ) [ CONV_050815c_03.10 ]



"pos from 特指名词 to 功能
"


"pos from 特指名词 to 代词
"


"pos from 特指名词 to 特指名词
"


"pos from 特指名词 to 标点
"


"pos from 特指名词 to 从句连词
"


"pos from 特指名词 to 符号
"


"pos from 特指名词 to 动词
"


"pos from 特指名词 to 其他
"


"pos from 标点 to 形容
"


"pos from 标点 to 介词
"


"pos from 标点 to 副词
"


"pos from 标点 to 助词
"


"pos from 标点 to 并列连词
"


"pos from 标点 to 定冠
"


"pos from 标点 to 感叹
"


"pos from 标点 to 名词
"


"pos from 标点 to 数字
"


"pos from 标点 to 功能
"


"pos from 标点 to 代词
"


"pos from 标点 to 特指名词
"


"pos from 标点 to 标点
"


"pos from 标点 to 从句连词
"


"pos from 标点 to 符号
"


"pos from 标点 to 动词
"


"pos from 标点 to 其他
"


"pos from 从句连词 to 形容
"


"pos from 从句连词 to 介词
"
original sentence,"In this article , we propose the definition of specific mutation operators for testing Geographic Information Systems ."
wrong word,for 13
mutation sentence,"In this article , we propose the definition of specific mutation operators for testing in Geographic Information Systems ."
mutation sentence,"In this article , we propose the definition of specific mutation operators for testing with Geographic Information Systems ."

original sentence,"As her father and one of her brothers had before her , she had caught tuberculosis ."
wrong word,As 1
mutation sentence,"As her father and later one of her brothers had before her , she had caught tuberculosis ."

original sentence,"During this period , he seems to have found time for studying and writing ."
wrong word,for 11
mutation sentence,"During this period , he seems to have found time for studying and creative writing ."
mutation sentence,"During this period , he seems to have found time for studying and poetry writing ."
mutation sentence,"During this period , he seems to have found time for studying and essay writing ."

original sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
wrong word,for 12
mutation sentence,I hate the half moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I really am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I truly am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I myself am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I especially am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I also am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I always am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I particularly am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I actually am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I even am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of being it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it all - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when outside it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it truly shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines down on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines it on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines out on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines in on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines brightly on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines through on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on so certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on even certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and deeply loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and yet loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it also sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes just makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes on them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes upon them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes in them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous again .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous too .

original sentence,I did n't understand what she 'd said except that they were visiting .
wrong word,except 9
mutation sentence,I did n't understand what she 'd said except that maybe they were visiting .
mutation sentence,I did n't understand what she 'd said except that perhaps they were visiting .
mutation sentence,I did n't understand what she 'd said except that apparently they were visiting .
mutation sentence,I did n't understand what she 'd said except that now they were visiting .
mutation sentence,I did n't understand what she 'd said except that obviously they were visiting .
mutation sentence,I did n't understand what she 'd said except that clearly they were visiting .
mutation sentence,I did n't understand what she 'd said except that technically they were visiting .
mutation sentence,I did n't understand what she 'd said except that sometimes they were visiting .

original sentence,At the age of 40 he was credited with revolutionizing the field of modern linguistics .
wrong word,with 9
mutation sentence,At the age of 40 he was credited with revolutionizing in the field of modern linguistics .

original sentence,"It 's portrayed as though it 's dark , black and evil ."
wrong word,as 4
mutation sentence,"It 's portrayed as though all it 's dark , black and evil ."

original sentence,Also the language is important in writing and in literature .
wrong word,in 6
mutation sentence,Also the language is important in writing and also in literature .
mutation sentence,Also the language is important in writing and sometimes in literature .
mutation sentence,Also the language is important in writing and especially in literature .
mutation sentence,Also the language is important in writing and even in literature .

original sentence,"So instead of documenting the dreams it gradually became also like adding creational elements , and I think that somehow through writing my dreams I gradually came to writing , also poems , but mainly stories ."
wrong word,through 21
mutation sentence,"So instead of documenting the dreams it gradually became also like adding creational elements , and I think that somehow through writing in my dreams I gradually came to writing , also poems , but mainly stories ."
mutation sentence,"So instead of documenting the dreams it gradually became also like adding creational elements , and I think that somehow through writing from my dreams I gradually came to writing , also poems , but mainly stories ."

original sentence,New faces emerge as veteran politicians step down in Hong Kong legislative election
wrong word,as 4
mutation sentence,New faces emerge as veteran Labour politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran Beijing politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran Chinese politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran senior politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran politicians step down in 2016 Hong Kong legislative election
mutation sentence,New faces emerge as veteran politicians step down in 2010 Hong Kong legislative election

original sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for practicing . [ 1 ]"
wrong word,for 23
mutation sentence,"A private dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately ) , and a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately . , and a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and even a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and sometimes a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a small barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a special barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a padded barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a large barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a double barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a portable barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a dance barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a wooden barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a circular barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a central barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for practicing . [ 1 * ]"

original sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you ."
wrong word,about 16
mutation sentence,"You could also keep adjusting your shirt or your own hair , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair again , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair down , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , while keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what new look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what certain look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what current look is best for you ."
