all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,Troy Patterson of Slate Magazine ventured alone over to Pacific Standard to sample the new santorum cocktail at the bar .
mutation sentence,Troy Patterson of Slate Magazine ventured solo over to Pacific Standard to sample the new santorum cocktail at the bar .

original sentence,The editors punch it up over the last couple of days and then it goes out over the Internet and into the print edition .
wrong word,out 16
mutation sentence,The editors punch it up over the entire last couple of days and then it goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and even then it goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and so then it goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then somehow it goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it just goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it finally goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it eventually goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it actually goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it really goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it simply goes out over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it goes out again over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it goes out first over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it goes out quickly over the Internet and into the print edition .
mutation sentence,The editors punch it up over the last couple of days and then it goes out over the entire Internet and into the print edition .

original sentence,I started to write down my dreams .
wrong word,down 5
mutation sentence,I immediately started to write down my dreams .
mutation sentence,I then started to write down my dreams .
mutation sentence,I started to write down my bad dreams .
mutation sentence,I started to write down my recent dreams .
mutation sentence,I started to write down my last dreams .
mutation sentence,I started to write down my strange dreams .
mutation sentence,I started to write down my dreams again .
mutation sentence,I started to write down my dreams now .
mutation sentence,I started to write down my dreams aloud .
mutation sentence,I started to write down my dreams mentally .
mutation sentence,I started to write down my dreams then .
mutation sentence,I started to write down my dreams immediately .

original sentence,I think that in this kind of structure there is a very gradual clarification of the relationship and the forth going on .
wrong word,on 22
mutation sentence,I think that in this kind of structure there actually is a very gradual clarification of the relationship and the forth going on .
mutation sentence,I think that in this kind of structure there necessarily is a very gradual clarification of the relationship and the forth going on .
mutation sentence,I think that in this kind of structure there just is a very gradual clarification of the relationship and the forth going on .
mutation sentence,I think that in this kind of structure there is just a very gradual clarification of the relationship and the forth going on .

original sentence,"Guests of the lodge can meander around either a short easy walk , or take the longer 2 hr return walk out onto the spectacular beach ."
wrong word,around 7
mutation sentence,"Guests of the lodge can meander around either a short easy circular walk , or take the longer 2 hr return walk out onto the spectacular beach ."

original sentence,The tree got its name because if any damage is made to the bark then a dark red liquid oozes out .
wrong word,out 21
mutation sentence,The tree got its name because if any damage is made to the bark then a shiny dark red liquid oozes out .
mutation sentence,The tree got its name because if any damage is made to the bark then a clear dark red liquid oozes out .
mutation sentence,The tree got its name because if any damage is made to the bark then a foul dark red liquid oozes out .
mutation sentence,The tree got its name because if any damage is made to the bark then a dark reddish red liquid oozes out .
mutation sentence,The tree got its name because if any damage is made to the bark then a dark blood red liquid oozes out .

original sentence,In addition there are over 120 species of birds and about 190 species of butterflies .
wrong word,over 5
mutation sentence,In addition there also are over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there here are over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there are also over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there are just over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there are well over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there are probably over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there are still over 120 species of birds and about 190 species of butterflies .
mutation sentence,In addition there are some over 120 species of birds and about 190 species of butterflies .

original sentence,Beaters can try hitting the bludgers around in the air with a shortened hockey sticks or a short bat .
wrong word,around 7
mutation sentence,Beaters also can try hitting the bludgers around in the air with a shortened hockey sticks or a short bat .
mutation sentence,Beaters can also try hitting the bludgers around in the air with a shortened hockey sticks or a short bat .
mutation sentence,Beaters can try also hitting the bludgers around in the air with a shortened hockey sticks or a short bat .
mutation sentence,Beaters can try just hitting the bludgers around in the air with a shortened hockey sticks or a short bat .
mutation sentence,Beaters can try hitting the other bludgers around in the air with a shortened hockey sticks or a short bat .
mutation sentence,Beaters can try hitting the bludgers around in the air with a shortened hockey sticks or a modified short bat .
mutation sentence,Beaters can try hitting the bludgers around in the air with a shortened hockey sticks or a simple short bat .



"pos from 副词 to 副词
"


"pos from 副词 to 助词
"


"pos from 副词 to 并列连词
"


"pos from 副词 to 定冠
"
original sentence,The choice is all yours .
wrong word,all 4
mutation sentence,The choice though is all yours .
mutation sentence,The choice is probably all yours .
mutation sentence,The choice is all yours now .
mutation sentence,The choice is all yours tonight .
mutation sentence,The choice is all yours then .
mutation sentence,The choice is all yours though .
mutation sentence,The choice is all yours today .



"pos from 副词 to 感叹
"


"pos from 副词 to 名词
"
original sentence,York was home first to the Ninth Legion and later the Sixth .
wrong word,home 3
mutation sentence,York was home first to the Royal Ninth Legion and later the Sixth .



"pos from 副词 to 数字
"


"pos from 副词 to 功能
"


"pos from 副词 to 代词
"


"pos from 副词 to 特指名词
"


"pos from 副词 to 标点
"


"pos from 副词 to 从句连词
"
original sentence,"A translucent little head poked out from behind a pot of organic-sugarcane exfoliating body polish , and looked at me with exaggerated puppy eyes and a trembling lower lip ."
wrong word,out 6
mutation sentence,"A translucent little head poked right out from behind a pot of organic-sugarcane exfoliating body polish , and looked at me with exaggerated puppy eyes and a trembling lower lip ."



"pos from 副词 to 符号
"


"pos from 副词 to 动词
"


"pos from 副词 to 其他
"


"pos from 助词 to 形容
"


"pos from 助词 to 介词
"


"pos from 助词 to 副词
"


"pos from 助词 to 助词
"


"pos from 助词 to 并列连词
"


"pos from 助词 to 定冠
"


"pos from 助词 to 感叹
"


"pos from 助词 to 名词
"


"pos from 助词 to 数字
"


"pos from 助词 to 功能
"


"pos from 助词 to 代词
"


"pos from 助词 to 特指名词
"


"pos from 助词 to 标点
"


"pos from 助词 to 从句连词
"


"pos from 助词 to 符号
"


"pos from 助词 to 动词
"
original sentence,"-- and he 's in the end , he would say , "" Well , I wo n't hire them . """
wrong word,'s 4
mutation sentence,"-- and where he 's in the end , he would say , "" Well , I wo n't hire them . """
mutation sentence,"-- and wherever he 's in the end , he would say , "" Well , I wo n't hire them . """

original sentence,"If you 're signed up for a class , check with your instructor to find out if there is a dress code at the school ."
wrong word,is 19
mutation sentence,"If you 're signed up for a class , check with your instructor to find out just if there is a dress code at the school ."
mutation sentence,"If you 're signed up for a class , check with your instructor to find out more if there is a dress code at the school ."



"pos from 助词 to 其他
"


"pos from 并列连词 to 形容
"


"pos from 并列连词 to 介词
"


"pos from 并列连词 to 副词
"
original sentence,"So you do n’t have writers coming up with a story and headline , but you will instead have a team of writers choosing the best headlines and then assign it to a particular writer who was not necessarily involved ?"
wrong word,So 1
mutation sentence,"So you do n’t have writers coming up with a story and headline , but now you will instead have a team of writers choosing the best headlines and then assign it to a particular writer who was not necessarily involved ?"



"pos from 并列连词 to 助词
"


"pos from 并列连词 to 并列连词
"


"pos from 并列连词 to 定冠
"


"pos from 并列连词 to 感叹
"


"pos from 并列连词 to 名词
"


"pos from 并列连词 to 数字
"


"pos from 并列连词 to 功能
"


"pos from 并列连词 to 代词
"


"pos from 并列连词 to 特指名词
"
original sentence,"She achieved prominence as the star of Elevator to the Gallows ( 1958 ) , directed by Louis Malle , and Jules et Jim ( 1962 ) , directed by François Truffaut ."
wrong word,et 23
mutation sentence,"She achieved prominence as the eponymous star of Elevator to the Gallows ( 1958 ) , directed by Louis Malle , and Jules et Jim ( 1962 ) , directed by François Truffaut ."
mutation sentence,"She achieved prominence as the star of Elevator 2 to the Gallows ( 1958 ) , directed by Louis Malle , and Jules et Jim ( 1962 ) , directed by François Truffaut ."
mutation sentence,"She achieved prominence as the star of Elevator to the Gallows ( 1958 ) , directed posthumously by Louis Malle , and Jules et Jim ( 1962 ) , directed by François Truffaut ."
mutation sentence,"She achieved prominence as the star of Elevator to the Gallows ( 1958 ) , directed by Louis Malle , and Jules Marie et Jim ( 1962 ) , directed by François Truffaut ."
mutation sentence,"She achieved prominence as the star of Elevator to the Gallows ( 1958 ) , directed by Louis Malle , and Jules Pierre et Jim ( 1962 ) , directed by François Truffaut ."



"pos from 并列连词 to 标点
"


"pos from 并列连词 to 从句连词
"


"pos from 并列连词 to 符号
"


"pos from 并列连词 to 动词
"


"pos from 并列连词 to 其他
"


"pos from 定冠 to 形容
"


"pos from 定冠 to 介词
"


"pos from 定冠 to 副词
"
original sentence,The Enemy can not be allowed to advance any further .
wrong word,any 9
mutation sentence,The Enemy can not be allowed to advance again any further .



"pos from 定冠 to 助词
"


"pos from 定冠 to 并列连词
"


"pos from 定冠 to 定冠
"


"pos from 定冠 to 感叹
"


"pos from 定冠 to 名词
"


"pos from 定冠 to 数字
"


"pos from 定冠 to 功能
"


"pos from 定冠 to 代词
"


"pos from 定冠 to 特指名词
"


"pos from 定冠 to 标点
"


"pos from 定冠 to 从句连词
"


"pos from 定冠 to 符号
"


"pos from 定冠 to 动词
"


"pos from 定冠 to 其他
"


"pos from 感叹 to 形容
"


"pos from 感叹 to 介词
"
original sentence,It 's cool ... it 's like another family .
wrong word,like 7
mutation sentence,It always 's cool ... it 's like another family .
mutation sentence,It 's cool here ... it 's like another family .
mutation sentence,It 's cool now ... it 's like another family .
mutation sentence,It 's cool ... Sometimes it 's like another family .
mutation sentence,It 's cool ... it really 's like another family .
mutation sentence,It 's cool ... it 's almost like another family .
mutation sentence,It 's cool ... it 's just like another family .
mutation sentence,It 's cool ... it 's more like another family .
mutation sentence,It 's cool ... it 's kinda like another family .
mutation sentence,It 's cool ... it 's really like another family .
mutation sentence,It 's cool ... it 's like another human family .
mutation sentence,It 's cool ... it 's like another extended family .
mutation sentence,It 's cool ... it 's like another family again .



"pos from 感叹 to 副词
"


"pos from 感叹 to 助词
"


"pos from 感叹 to 并列连词
"


"pos from 感叹 to 定冠
"


"pos from 感叹 to 感叹
"


"pos from 感叹 to 名词
"


"pos from 感叹 to 数字
"


"pos from 感叹 to 功能
"


"pos from 感叹 to 代词
"


"pos from 感叹 to 特指名词
"


"pos from 感叹 to 标点
"


"pos from 感叹 to 从句连词
"


"pos from 感叹 to 符号
"


"pos from 感叹 to 动词
"


"pos from 感叹 to 其他
"


"pos from 名词 to 形容
"
original sentence,"Daniel realised that in a similar way , a moving fluid exchanges its kinetic energy for pressure ."
wrong word,kinetic 14
mutation sentence,"Daniel realised that in a similar way , a free moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a continuously moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a fast moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a slow moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a rapidly moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a constantly moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a slowly moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a naturally moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a slower moving fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving hot fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving rotating fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving flowing fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving stationary fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving liquid fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving working fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving static fluid exchanges its kinetic energy for pressure ."
mutation sentence,"Daniel realised that in a similar way , a moving hydraulic fluid exchanges its kinetic energy for pressure ."

original sentence,In the 1960s Hadid attended boarding schools in England and Switzerland .
wrong word,boarding 6
mutation sentence,In the 1960s Hadid attended boarding high schools in England and Switzerland .
mutation sentence,In the 1960s Hadid attended boarding international schools in England and Switzerland .
mutation sentence,In the 1960s Hadid attended boarding secondary schools in England and Switzerland .

original sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit leadoff for the rest of the season ."
wrong word,leadoff 22
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit leadoff single for the rest of the season ."

original sentence,"We were fellow outcasts , bound by complementary misfortune ."
wrong word,fellow 3
mutation sentence,"We too were fellow outcasts , bound by complementary misfortune ."
mutation sentence,"We were fellow social outcasts , bound by complementary misfortune ."
mutation sentence,"We were fellow cultural outcasts , bound by complementary misfortune ."
mutation sentence,"We were fellow human outcasts , bound by complementary misfortune ."
mutation sentence,"We were fellow tragic outcasts , bound by complementary misfortune ."
mutation sentence,"We were fellow political outcasts , bound by complementary misfortune ."
mutation sentence,"We were fellow American outcasts , bound by complementary misfortune ."

original sentence,The Independent reported self-medicating ants a first among insects .
wrong word,first 7
mutation sentence,The Independent later reported self-medicating ants a first among insects .
mutation sentence,The Independent reported self-medicating ants a new first among insects .
mutation sentence,The Independent reported self-medicating ants a national first among insects .
mutation sentence,The Independent reported self-medicating ants a worldwide first among insects .
mutation sentence,The Independent reported self-medicating ants a global first among insects .
mutation sentence,The Independent reported self-medicating ants a first ever among insects .

original sentence,"After a while I needed to start thinking about an internship for my M.Sc. studies , and decided to write a couple of professors ."
wrong word,M.Sc. 14
mutation sentence,"After a while I needed to start thinking about an internship for my post M.Sc. studies , and decided to write a couple of professors ."

original sentence,"Bailey 's , orange vodka , bitters , and chocolate flakes ."
wrong word,orange 4
mutation sentence,"Bailey 's , orange vodka , bitters , and dark chocolate flakes ."

original sentence,I look at it as human interaction .
wrong word,human 6
mutation sentence,I look at it more as human interaction .
mutation sentence,I look at it only as human interaction .
mutation sentence,I look at it as purely human interaction .
mutation sentence,I look at it as human social interaction .
mutation sentence,I look at it as human sexual interaction .
mutation sentence,I look at it as human cultural interaction .
mutation sentence,I look at it as human emotional interaction .
mutation sentence,I look at it as human bodily interaction .
mutation sentence,I look at it as human physical interaction .

original sentence,"In the staccato part it 's like a music : a lot of break , very very short sentences ."
wrong word,staccato 3
mutation sentence,"In the very staccato part it 's like a music : a lot of break , very very short sentences ."
mutation sentence,"In the staccato second part it 's like a music : a lot of break , very very short sentences ."
mutation sentence,"In the staccato middle part it 's like a music : a lot of break , very very short sentences ."
mutation sentence,"In the staccato third part it 's like a music : a lot of break , very very short sentences ."

original sentence,"Two pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
wrong word,veteran 3
mutation sentence,"Two other pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two incumbent pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two former pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two veteran pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two sitting pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two more pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two pan-democratic veteran local politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two pan-democratic veteran former politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two pan-democratic veteran national politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two pan-democratic veteran Chinese politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this electoral constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."
mutation sentence,"Two pan-democratic veteran politicians Lee Cheuk-yan of the Labour Party and Frederick Fung of ADPL were defeated in this rural constituency , with Junius Ho defeating Lee Cheuk-yan by around five thousand votes ."

original sentence,Pan-democrat Lam Cheuk-ting from the Democratic Party and localist group Youngspiration 's Baggio Leung were successfully elected newcomers .
wrong word,localist 9
mutation sentence,Pan-democrat Lam Cheuk-ting from the Democratic Party and localist nationalist group Youngspiration 's Baggio Leung were successfully elected newcomers .

original sentence,"Localist group Civic Passion 's Wong Yeung-tat was defeated in this district , and resigned his leadership in Civic Passion ."
wrong word,Localist 1
mutation sentence,"Localist political group Civic Passion 's Wong Yeung-tat was defeated in this district , and resigned his leadership in Civic Passion ."
mutation sentence,"Localist conservative group Civic Passion 's Wong Yeung-tat was defeated in this district , and resigned his leadership in Civic Passion ."
mutation sentence,"Localist liberal group Civic Passion 's Wong Yeung-tat was defeated in this district , and resigned his leadership in Civic Passion ."

original sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while pro-Beijing veteran politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
wrong word,veteran 18
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while incumbent pro-Beijing veteran politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while fellow pro-Beijing veteran politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while former pro-Beijing veteran politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while veteran pro-Beijing veteran politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while pro-Beijing former veteran politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while pro-Beijing veteran local politician Wong Kwok-hing of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while pro-Beijing veteran politician Wong Kwok-hing also of FTU was defeated by 10,694 votes by James To ."
mutation sentence,"Pro-Beijing DAB 's Starry Lee and Holden Chow were successfully elected in this constituency , while pro-Beijing veteran politician Wong Kwok-hing again of FTU was defeated by 10,694 votes by James To ."

original sentence,"As they design their web pages for the newer browsers with advanced web technology and geared to the newest web core markup language HTML 5 , they are forced to accommodate older out-of-date technology to support IE6 users ."
wrong word,out-of-date 33
mutation sentence,"As typically they design their web pages for the newer browsers with advanced web technology and geared to the newest web core markup language HTML 5 , they are forced to accommodate older out-of-date technology to support IE6 users ."
mutation sentence,"As often they design their web pages for the newer browsers with advanced web technology and geared to the newest web core markup language HTML 5 , they are forced to accommodate older out-of-date technology to support IE6 users ."

original sentence,"Lemon basil actually contains citral , an aromatic compound found in citrus fruit , and smells very lemony ."
wrong word,citrus 12
mutation sentence,"Lemon basil actually contains citral , an aromatic natural compound found in citrus fruit , and smells very lemony ."
mutation sentence,"Lemon basil actually contains citral , an aromatic compound found mostly in citrus fruit , and smells very lemony ."
mutation sentence,"Lemon basil actually contains citral , an aromatic compound found primarily in citrus fruit , and smells very lemony ."
mutation sentence,"Lemon basil actually contains citral , an aromatic compound found predominantly in citrus fruit , and smells very lemony ."

original sentence,You do n't need flying broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .
wrong word,magic 8
mutation sentence,You do n't need magical flying broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .
mutation sentence,You do n't need flying magic broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .

original sentence,Add one cup of broth and one cup of water to the saucepan and bring to a boil over medium high heat .
wrong word,medium 20
mutation sentence,Add one cup of broth and one cup of water to the saucepan and bring to a boil immediately over medium high heat .
mutation sentence,Add one cup of broth and one cup of water to the saucepan and bring to a boil directly over medium high heat .
mutation sentence,Add one cup of broth and one cup of water to the saucepan and bring to a boil when over medium high heat .



"pos from 名词 to 介词
"


"pos from 名词 to 副词
"
original sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit leadoff for the rest of the season ."
wrong word,leadoff 22
mutation sentence,"Holt again started 2014 in Triple-A , but was later called up May 17 after an injury to Will Middlebrooks and hit leadoff for the rest of the season ."
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit mostly leadoff for the rest of the season ."
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit primarily leadoff for the rest of the season ."
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit mainly leadoff for the rest of the season ."
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit leadoff for the rest of the season there ."
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit leadoff for the rest of the season afterwards ."
mutation sentence,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit leadoff for the rest of the season afterward ."

original sentence,He stopped midway through the calibration and glanced out of his cockpit .
wrong word,midway 3
mutation sentence,He stopped midway through the calibration and glanced quickly out of his cockpit .
mutation sentence,He stopped midway through the calibration and glanced curiously out of his cockpit .
mutation sentence,He stopped midway through the calibration and glanced warily out of his cockpit .

original sentence,The Katy Trail runs west to Sand Springs .
wrong word,west 5
mutation sentence,The Katy Trail runs further west to Sand Springs .
mutation sentence,The Katy Trail runs south west to Sand Springs .
mutation sentence,The Katy Trail runs due west to Sand Springs .
mutation sentence,The Katy Trail runs farther west to Sand Springs .
mutation sentence,The Katy Trail runs directly west to Sand Springs .
mutation sentence,The Katy Trail runs just west to Sand Springs .
mutation sentence,The Katy Trail runs immediately west to Sand Springs .
mutation sentence,The Katy Trail runs next west to Sand Springs .

original sentence,The Creek Trail connects Rivertrail and continues east through Broken Arrow to the NSU-Broken Arrow campus .
wrong word,east 8
mutation sentence,The Creek Trail also connects Rivertrail and continues east through Broken Arrow to the NSU-Broken Arrow campus .
mutation sentence,The Creek Trail then connects Rivertrail and continues east through Broken Arrow to the NSU-Broken Arrow campus .
mutation sentence,The Creek Trail connects Rivertrail and also continues east through Broken Arrow to the NSU-Broken Arrow campus .
mutation sentence,The Creek Trail connects Rivertrail and continues on east through Broken Arrow to the NSU-Broken Arrow campus .
mutation sentence,The Creek Trail connects Rivertrail and continues straight east through Broken Arrow to the NSU-Broken Arrow campus .
mutation sentence,The Creek Trail connects Rivertrail and continues directly east through Broken Arrow to the NSU-Broken Arrow campus .
mutation sentence,The Creek Trail connects Rivertrail and continues east through Broken Arrow to the new NSU-Broken Arrow campus .
mutation sentence,The Creek Trail connects Rivertrail and continues east through Broken Arrow to the NSU-Broken Arrow main campus .
mutation sentence,The Creek Trail connects Rivertrail and continues east through Broken Arrow to the NSU-Broken Arrow central campus .



"pos from 名词 to 助词
"


"pos from 名词 to 并列连词
"


"pos from 名词 to 定冠
"


"pos from 名词 to 感叹
"
original sentence,"“ Do n’t humor them , dammit , ” Jenna said , and stomped , still naked , still wet , toward the phone in the kitchen ."
wrong word,dammit 7
mutation sentence,"“ Do n’t just humor them , dammit , ” Jenna said , and stomped , still naked , still wet , toward the phone in the kitchen ."



"pos from 名词 to 名词
"


"pos from 名词 to 数字
"
original sentence,I do n't know if you 'd like to see one .
wrong word,one 11
mutation sentence,I do n't know if you 'd like to see one more .

original sentence,He 'll make you fill one out .
wrong word,one 6
mutation sentence,He 'll only make you fill one out .
mutation sentence,He 'll make you just fill one out .
mutation sentence,He 'll make you personally fill one out .
mutation sentence,He 'll make you fill one more out .

original sentence,the new one would be unique to New Zealand .
wrong word,one 3
mutation sentence,the new one would therefore be unique to New Zealand .
mutation sentence,the new one would thus be unique to New Zealand .
mutation sentence,the new one would be entirely unique to New Zealand .
mutation sentence,the new one would be wholly unique to New Zealand .
mutation sentence,the new one would be largely unique to New Zealand .
mutation sentence,the new one would be virtually unique to New Zealand .

original sentence,Valley Metro #13 goes west to S 75th Ave along S Buckeye ( via Greyhound depot ) from Terminal 2 .
wrong word,#13 3
mutation sentence,Valley Metro #13 then goes west to S 75th Ave along S Buckeye ( via Greyhound depot ) from Terminal 2 .



"pos from 名词 to 功能
"


"pos from 名词 to 代词
"


"pos from 名词 to 特指名词
"


"pos from 名词 to 标点
"


"pos from 名词 to 从句连词
"


"pos from 名词 to 符号
"


"pos from 名词 to 动词
"
original sentence,These institutions do not exist solely to credential experts .
wrong word,credential 8
mutation sentence,These national institutions do not exist solely to credential experts .
mutation sentence,These institutions often do not exist solely to credential experts .
mutation sentence,These institutions certainly do not exist solely to credential experts .
mutation sentence,These institutions do not only exist solely to credential experts .
mutation sentence,These institutions do not actually exist solely to credential experts .
mutation sentence,These institutions do not exist solely to credential experts worldwide .
mutation sentence,These institutions do not exist solely to credential experts anymore .



"pos from 名词 to 其他
"
original sentence,"The Incas treated the crop as sacred and referred to quinoa as "" chisaya mama "" or "" mother of all grains . "" [ 1 ]"
wrong word,mama 15
mutation sentence,"The Incas treated the crop as sacred and referred to quinoa as "" la chisaya mama "" or "" mother of all grains . "" [ 1 ]"
mutation sentence,"The Incas treated the crop as sacred and referred to quinoa as "" ya chisaya mama "" or "" mother of all grains . "" [ 1 ]"
mutation sentence,"The Incas treated the crop as sacred and referred to quinoa as "" sa chisaya mama "" or "" mother of all grains . "" [ 1 ]"
