all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"We sat on the porch watching , no longer daring to dart out outside and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops rapidly turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops gradually turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops now turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops outside turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and eventually the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the rhythmic staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato rhythmic tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof eventually climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed almost to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed eventually to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to almost a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to nearly a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous crashing roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous rhythmic roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous white roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous final roar ."

original sentence,"We pulled off wet socks and shoes , letting them float away on the tide , before the great worm turned and the wake engulfed the creaking , cracking house ."
wrong word,away 12
mutation sentence,"We pulled off wet socks and shoes , letting them gently float away on the tide , before the great worm turned and the wake engulfed the creaking , cracking house ."
mutation sentence,"We pulled off wet socks and shoes , letting them simply float away on the tide , before the great worm turned and the wake engulfed the creaking , cracking house ."

original sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
wrong word,as 22
mutation sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as nearly black as soot ."
mutation sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as shiny black as soot ."
mutation sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as glossy black as soot ."

original sentence,"Just knowing a whole lot about a single species is n't very useful , even if that animal is as special as these clearly are -"
wrong word,as 20
mutation sentence,"Just knowing a whole lot about a single species is n't very useful , even if that animal is as obviously special as these clearly are -"
mutation sentence,"Just knowing a whole lot about a single species is n't very useful , even if that animal is as really special as these clearly are -"
mutation sentence,"Just knowing a whole lot about a single species is n't very useful , even if that animal is as truly special as these clearly are -"

original sentence,We read about six hundred to eight hundred headline ideas on a Monday coming from our staff and a small group of writers outside — a contributing core .
wrong word,outside 24
mutation sentence,We read about six hundred to eight hundred headline ideas on a Monday coming from our staff and a small group of writers outside with — a contributing core .

original sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world as much as we ’ll hit characters in the entertainment world .
wrong word,as 13
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world as equally much as we ’ll hit characters in the entertainment world .
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world as very much as we ’ll hit characters in the entertainment world .
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world as critically much as we ’ll hit characters in the entertainment world .

original sentence,"The US State Department said John Kerry , the Secretary of State , contacted Thailand 's foreign minister over temporary housing for the Rohingya out at sea ."
wrong word,out 25
mutation sentence,"The US State Department said John Kerry , the Secretary of State , contacted Thailand 's foreign minister over temporary housing for the Rohingya out at open sea ."

original sentence,Ask around to see what they 've been saying about you .
wrong word,around 2
mutation sentence,Ask around here to see what they 've been saying about you .
mutation sentence,Ask around there to see what they 've been saying about you .

original sentence,Hold the bird down gently with one hand .
wrong word,down 4
mutation sentence,Hold the dead bird down gently with one hand .



"pos from 副词 to 副词
"


"pos from 副词 to 助词
"
original sentence,"For instance , if the person has a band-related username , you might say : "" Hey , cool name . Did you see those guys when they last came to town ? """
wrong word,last 29
mutation sentence,"For instance , if the person has a band-related username , you might say : "" Hey , cool name . Did you see those guys when they last ever came to town ? """



"pos from 副词 to 并列连词
"
original sentence,"He seems to have abstained for a considerable time from the study of the classics and to have plunged deeply into that of the Bible , under the impulse of Apollinaris of Laodicea , then teaching in Antioch and not yet suspected of heresy ."
wrong word,yet 41
mutation sentence,"He seems to have abstained for a considerable time from the study of the classics and to have plunged deeply into that of the Bible , under the impulse of Apollinaris of Laodicea , then teaching in Antioch and not yet fully suspected of heresy ."
mutation sentence,"He seems to have abstained for a considerable time from the study of the classics and to have plunged deeply into that of the Bible , under the impulse of Apollinaris of Laodicea , then teaching in Antioch and not yet sufficiently suspected of heresy ."

original sentence,"“ Do n’t get much older either , ” Betty said ."
wrong word,either 7
mutation sentence,"“ Do n’t get much older either , now ” Betty said ."



"pos from 副词 to 定冠
"
original sentence,"they need to be planted 6 inches apart , since they grow quite large ."
wrong word,quite 13
mutation sentence,"they need to be planted 6 inches apart , since they grow quite that large ."



"pos from 副词 to 感叹
"


"pos from 副词 to 名词
"


"pos from 副词 to 数字
"


"pos from 副词 to 功能
"


"pos from 副词 to 代词
"


"pos from 副词 to 特指名词
"


"pos from 副词 to 标点
"


"pos from 副词 to 从句连词
"
original sentence,"Retiring to the monastery of Phbow , Pachomius gave Theodorus complete control over Tabennese , though recalled him from the position after witnessing several monks under Theodorus ’ watch violating the monastic rules without reprimand ."
wrong word,though 16
mutation sentence,"Retiring to the monastery of Phbow , Pachomius gave Theodorus complete control over Tabennese , though soon recalled him from the position after witnessing several monks under Theodorus ’ watch violating the monastic rules without reprimand ."

original sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
wrong word,as 22
mutation sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as almost black as soot ."
mutation sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as polished black as soot ."

original sentence,"Well , I ’m just not ready to wait that long ."
wrong word,that 10
mutation sentence,"Well , I ’m just not ready to wait that really long ."

original sentence,Mostly they require tight fitting clothing so they can see that your muscles are working properly and so on .
wrong word,so 7
mutation sentence,Mostly they require tight fitting clothing so they can see now that your muscles are working properly and so on .
mutation sentence,Mostly they require tight fitting clothing so they can see immediately that your muscles are working properly and so on .
mutation sentence,Mostly they require tight fitting clothing so they can see only that your muscles are working properly and so on .
mutation sentence,Mostly they require tight fitting clothing so they can see inside that your muscles are working properly and so on .



"pos from 副词 to 符号
"


"pos from 副词 to 动词
"


"pos from 副词 to 其他
"


"pos from 助词 to 形容
"


"pos from 助词 to 介词
"


"pos from 助词 to 副词
"


"pos from 助词 to 助词
"


"pos from 助词 to 并列连词
"


"pos from 助词 to 定冠
"
original sentence,""" You 'd a never done that before , "" Pag said ."
wrong word,a 4
mutation sentence,""" You 'd a better never done that before , "" Pag said ."



"pos from 助词 to 感叹
"


"pos from 助词 to 名词
"


"pos from 助词 to 数字
"


"pos from 助词 to 功能
"


"pos from 助词 to 代词
"


"pos from 助词 to 特指名词
"


"pos from 助词 to 标点
"


"pos from 助词 to 从句连词
"


"pos from 助词 to 符号
"


"pos from 助词 to 动词
"
original sentence,"His most notable contribution to translation theory is Dynamic Equivalence , also known as Functional Equivalence ."
wrong word,is 8
mutation sentence,"His most notable contribution to translation theory there is Dynamic Equivalence , also known as Functional Equivalence ."

original sentence,"Basil needs warm air and sun to do well , so it 's often easiest to start the seeds indoors instead of risking that they 'll get damaged by frost ."
wrong word,get 27
mutation sentence,"Basil needs warm air and sun to do well , so it 's often easiest to start the seeds indoors instead of risking that they 'll get badly damaged by frost ."



"pos from 助词 to 其他
"


"pos from 并列连词 to 形容
"


"pos from 并列连词 to 介词
"


"pos from 并列连词 to 副词
"


"pos from 并列连词 to 助词
"


"pos from 并列连词 to 并列连词
"


"pos from 并列连词 to 定冠
"
original sentence,"F-E focuses attention on the message itself , in both form and content ."
wrong word,both 10
mutation sentence,"F-E focuses attention on the message itself , in both form and content itself ."
mutation sentence,"F-E focuses attention on the message itself , in both form and content respectively ."

original sentence,Great care is shown to both guests and the environment .
wrong word,both 6
mutation sentence,Great care is therefore shown to both guests and the environment .
mutation sentence,Great care is shown here to both guests and the environment .
mutation sentence,Great care is shown equally to both guests and the environment .
mutation sentence,Great care is shown also to both guests and the environment .
mutation sentence,Great care is shown overall to both guests and the environment .
mutation sentence,Great care is shown especially to both guests and the environment .
mutation sentence,Great care is shown to both guests themselves and the environment .
mutation sentence,Great care is shown to both guests and the immediate environment .
mutation sentence,Great care is shown to both guests and the external environment .
mutation sentence,Great care is shown to both guests and the environment itself .
mutation sentence,Great care is shown to both guests and the environment here .
mutation sentence,Great care is shown to both guests and the environment overall .
mutation sentence,Great care is shown to both guests and the environment nearby .
mutation sentence,Great care is shown to both guests and the environment involved .



"pos from 并列连词 to 感叹
"


"pos from 并列连词 to 名词
"


"pos from 并列连词 to 数字
"


"pos from 并列连词 to 功能
"


"pos from 并列连词 to 代词
"


"pos from 并列连词 to 特指名词
"


"pos from 并列连词 to 标点
"


"pos from 并列连词 to 从句连词
"


"pos from 并列连词 to 符号
"


"pos from 并列连词 to 动词
"


"pos from 并列连词 to 其他
"


"pos from 定冠 to 形容
"


"pos from 定冠 to 介词
"


"pos from 定冠 to 副词
"
original sentence,""" You 're not even Siri any more . """
wrong word,any 7
mutation sentence,""" You 're not even Siri any much more . """

original sentence,The choice is all yours .
wrong word,all 4
mutation sentence,The choice is all now yours .



"pos from 定冠 to 助词
"


"pos from 定冠 to 并列连词
"
original sentence,"As a pilot project , the current work takes the content of both comment threads — a corpus of approximately 5,600 comments — and analyzes each thread separately using a qualitative coding method aligned with constructivist grounded theory ( Charmaz , 2006 ) ."
wrong word,both 13
mutation sentence,"As a pilot project , the current work takes the content of both individual comment threads — a corpus of approximately 5,600 comments — and analyzes each thread separately using a qualitative coding method aligned with constructivist grounded theory ( Charmaz , 2006 ) ."
mutation sentence,"As a pilot project , the current work takes the content of both existing comment threads — a corpus of approximately 5,600 comments — and analyzes each thread separately using a qualitative coding method aligned with constructivist grounded theory ( Charmaz , 2006 ) ."

original sentence,to give information on both form and content ;
wrong word,both 5
mutation sentence,to also give information on both form and content ;
mutation sentence,to systematically give information on both form and content ;
mutation sentence,to explicitly give information on both form and content ;
mutation sentence,to freely give information on both form and content ;
mutation sentence,to give detailed information on both form and content ;
mutation sentence,to give additional information on both form and content ;
mutation sentence,to give information on both form and actual content ;
mutation sentence,to give information on both form and specific content ;
mutation sentence,to give information on both form and technical content ;

original sentence,"Also , an independent who does not claim to belong to either camp , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."
wrong word,either 12
mutation sentence,"Also , an independent who does not claim to belong to either camp though , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."



"pos from 定冠 to 定冠
"


"pos from 定冠 to 感叹
"


"pos from 定冠 to 名词
"


"pos from 定冠 to 数字
"


"pos from 定冠 to 功能
"


"pos from 定冠 to 代词
"


"pos from 定冠 to 特指名词
"


"pos from 定冠 to 标点
"


"pos from 定冠 to 从句连词
"


"pos from 定冠 to 符号
"


"pos from 定冠 to 动词
"


"pos from 定冠 to 其他
"


"pos from 感叹 to 形容
"


"pos from 感叹 to 介词
"


"pos from 感叹 to 副词
"


"pos from 感叹 to 助词
"


"pos from 感叹 to 并列连词
"


"pos from 感叹 to 定冠
"


"pos from 感叹 to 感叹
"


"pos from 感叹 to 名词
"


"pos from 感叹 to 数字
"


"pos from 感叹 to 功能
"


"pos from 感叹 to 代词
"


"pos from 感叹 to 特指名词
"


"pos from 感叹 to 标点
"


"pos from 感叹 to 从句连词
"


"pos from 感叹 to 符号
"


"pos from 感叹 to 动词
"
original sentence,“ Snap ! ” Pete said .
wrong word,Snap 2
mutation sentence,“ Snap shut ! ” Pete said .



"pos from 感叹 to 其他
"


"pos from 名词 to 形容
"
original sentence,"In this paper , we report upon the novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
wrong word,eye-tracking 11
mutation sentence,"In this paper , we report upon the novel insights eye-tracking photographic techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."

original sentence,"When the deceit was uncovered , however , the effect was just the opposite :"
wrong word,opposite 14
mutation sentence,"When the deceit was uncovered , however , the effect was just the opposite altogether :"
mutation sentence,"When the deceit was uncovered , however , the effect was just the opposite one :"

original sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognition , for the improvement of cognitive functions ."
wrong word,fun 25
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and human cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and social cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognitive cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and rational cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and normal cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and scientific cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and real cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and ordinary cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and general cognition , for the improvement of cognitive functions ."

original sentence,These postural and kinematics changes can not be attributed to an increased weight as subjects of the control-weight group did not show the same changes as the experimental group .
wrong word,kinematics 4
mutation sentence,These postural and kinematics physiological changes can not be attributed to an increased weight as subjects of the control-weight group did not show the same changes as the experimental group .
mutation sentence,These postural and kinematics behavioral changes can not be attributed to an increased weight as subjects of the control-weight group did not show the same changes as the experimental group .

original sentence,"During avian evolution , the loss of the CFL and reorganization of the pelvic musculature [ 5 ] , [ 13 ] could have made birds unable to properly carry a postacetabular mass equivalent to that carried by non-avian theropods [ 5 ] , [ 6 ] ."
wrong word,equivalent 34
mutation sentence,"During avian evolution , the loss of the CFL and reorganization of the pelvic musculature [ 5 ] , [ 13 ] could have made birds unable to properly carry a postacetabular mass much equivalent to that carried by non-avian theropods [ 5 ] , [ 6 ] ."

original sentence,"Nonetheless , this does not mean that tail reduction had no effect on CoM displacement , but that it was not the most important factor ."
wrong word,tail 8
mutation sentence,"Nonetheless , this does not mean that tail current reduction had no effect on CoM displacement , but that it was not the most important factor ."

original sentence,"Several of her trademark themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
wrong word,trademark 4
mutation sentence,"Several of her most trademark themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her other trademark themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her more trademark themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her many trademark themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark romantic themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark lyrical themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark recurring themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark erotic themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark lesbian themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark narrative themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark musical themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
mutation sentence,"Several of her trademark literary themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."

original sentence,Boston Red Sox ( 2013 – present )
wrong word,present 7
mutation sentence,Boston Red Sox ( 2013 – present only )
mutation sentence,Boston Red Sox ( 2013 – present seasons )
mutation sentence,Boston Red Sox ( 2013 – present franchise )
mutation sentence,Boston Red Sox ( 2013 – present only )
mutation sentence,Boston Red Sox ( 2013 – present seasons )
mutation sentence,Boston Red Sox ( 2013 – present franchise )

original sentence,"Despite his clear potential and popularity , Pachomius refused to grant Theodorus any kind of authority ; though the old man 's failing health soon changed things forever ."
wrong word,potential 4
mutation sentence,"Despite his clear potential and great popularity , Pachomius refused to grant Theodorus any kind of authority ; though the old man 's failing health soon changed things forever ."

original sentence,Tie partner ’s hands with a silk scarf .
wrong word,silk 7
mutation sentence,Tie partner ’s hands with a silk blue scarf .

original sentence,"This common black ant eats other insects , and also aphid honeydew ."
wrong word,aphid 11
mutation sentence,"This common black ant eats other insects , and often also aphid honeydew ."

original sentence,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants ."
wrong word,wild 3
mutation sentence,"In the wild , young Formica fusca can encounter similar chemicals in aphids and dead ants ."

original sentence,Labor actions as a revival of the Left
wrong word,Labor 1
mutation sentence,Labor political actions as a revival of the Left

original sentence,I do wear a lot of black .
wrong word,black 7
mutation sentence,I do wear a lot not of black .
mutation sentence,I do wear a lot of black now .
mutation sentence,I do wear a lot of black though .
mutation sentence,I do wear a lot of black tonight .
mutation sentence,I do wear a lot of black too .

original sentence,We are run as a Hybrid Organization - a for-profit company focused on achieving a social good .
wrong word,good 17
mutation sentence,We are run as a Hybrid Organization - a for-profit company focused on achieving a social good worldwide .
mutation sentence,We are run as a Hybrid Organization - a for-profit company focused on achieving a social good today .
mutation sentence,We are run as a Hybrid Organization - a for-profit company focused on achieving a social good globally .

original sentence,"First , people around the world are desperate for high quality how-to information ."
wrong word,quality 11
mutation sentence,"First , people around the world are desperate for high quality educational how-to information ."
mutation sentence,"First , people around the world are desperate for high quality medical how-to information ."
mutation sentence,"First , people around the world are desperate for high quality technical how-to information ."
mutation sentence,"First , people around the world are desperate for high quality scientific how-to information ."

original sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
wrong word,downtown 33
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to personally witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to peacefully witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to eagerly witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to visually witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."

original sentence,""" Despite an increase in vehicle miles driven and energy consumption , surface ozone has declined by 25 percent on average across the U.S. from 1980 to 2012 [...]"
wrong word,average 21
mutation sentence,""" Despite an increase in vehicle miles driven and energy consumption , surface ozone has declined by 25 percent on average daily across the U.S. from 1980 to 2012 [...]"
mutation sentence,""" Despite an increase in vehicle miles driven and energy consumption , surface ozone has declined by 25 percent on average yearly across the U.S. from 1980 to 2012 [...]"

original sentence,"Unlike most other large Polish cities , which have long histories , Łódź was created almost from scratch during the 19th century textile industry boom to house textile mills , their owners and their workers , and rapidly grew to become an important industrial and commerce centre ."
wrong word,commerce 46
mutation sentence,"Unlike most other large Polish cities , which have long histories , Łódź was created almost from scratch during the 19th century textile industry boom to house textile mills , their owners and their workers , and rapidly grew to become an important industrial and commerce administrative centre ."
mutation sentence,"Unlike most other large Polish cities , which have long histories , Łódź was created almost from scratch during the 19th century textile industry boom to house textile mills , their owners and their workers , and rapidly grew to become an important industrial and commerce regional centre ."
mutation sentence,"Unlike most other large Polish cities , which have long histories , Łódź was created almost from scratch during the 19th century textile industry boom to house textile mills , their owners and their workers , and rapidly grew to become an important industrial and commerce economic centre ."

original sentence,"As a result , a population of just over 100,000 in 1950 has given way to a 2014 estimate of 1,537,058 ( with the metro area estimated at 4,489,109 ) ."
wrong word,metro 25
mutation sentence,"As a result , a population of just over 100,000 in 1950 has given way to a 2014 estimate of 1,537,058 ( with the metro statistical area estimated at 4,489,109 ) ."
mutation sentence,"As a result , a population of just over 100,000 in 1950 has given way to a 2014 estimate of 1,537,058 ( with the metro metropolitan area estimated at 4,489,109 ) ."

original sentence,"In the summer , very hot and dry heat is the norm ."
wrong word,norm 12
mutation sentence,"In the summer , very hot and dry heat is the norm there ."

original sentence,"Monsoon rains with lightning occur regularly from July to September during the late afternoon and evening , occasionally overnight also ."
wrong word,Monsoon 1
mutation sentence,"Monsoon heavy rains with lightning occur regularly from July to September during the late afternoon and evening , occasionally overnight also ."
mutation sentence,"Monsoon seasonal rains with lightning occur regularly from July to September during the late afternoon and evening , occasionally overnight also ."

original sentence,"Most Tulsans drive almost everywhere , although bus , bike , and pedestrian routes are starting to catch on ."
wrong word,pedestrian 13
mutation sentence,"Most Tulsans drive almost everywhere , although bus , bike , and pedestrian alternate routes are starting to catch on ."

original sentence,Downtown streets were originally platted parallel to the Frisco railroad tracks .
wrong word,Downtown 1
mutation sentence,Downtown commercial streets were originally platted parallel to the Frisco railroad tracks .
mutation sentence,Downtown residential streets were originally platted parallel to the Frisco railroad tracks .

original sentence,It 's much more fun when there are other people that can understand your language .
wrong word,fun 5
mutation sentence,It 's much more fun then when there are other people that can understand your language .



"pos from 名词 to 介词
"


"pos from 名词 to 副词
"
original sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in the world ."
wrong word,home 8
mutation sentence,"Socotra Island is very rich and is now home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in the world ."



"pos from 名词 to 助词
"


"pos from 名词 to 并列连词
"


"pos from 名词 to 定冠
"


"pos from 名词 to 感叹
"
original sentence,"“ That ’s leprechauns , idiot ! ” said the voice from my noise ."
wrong word,idiot 6
mutation sentence,"“ That ’s leprechauns too , idiot ! ” said the voice from my noise ."
mutation sentence,"“ That ’s leprechauns here , idiot ! ” said the voice from my noise ."



"pos from 名词 to 名词
"


"pos from 名词 to 数字
"
original sentence,"At an elevation of 1100 ft ( 335 m ) , it is situated in the biologically unique Sonoran Desert ."
wrong word,m 9
mutation sentence,"At an elevation of 1100 ft ( approximately 335 m ) , it is situated in the biologically unique Sonoran Desert ."



"pos from 名词 to 功能
"


"pos from 名词 to 代词
"


"pos from 名词 to 特指名词
"


"pos from 名词 to 标点
"


"pos from 名词 to 从句连词
"


"pos from 名词 to 符号
"


"pos from 名词 to 动词
"
original sentence,"She perks up the way Shelby , our Shetland Sheepdog does , when you say ‘ treat . ’"
wrong word,treat 17
mutation sentence,"She perks up the way Shelby , our Shetland Sheepdog does , when you say ‘ treat well . ’"

original sentence,"Portrait shot of Dennis Hopper , famous for his role in the 1969 film Easy Rider , amongst the Warhol Polaroids donated to USI by the Andy Warhol Foundation for the Visual Arts ."
wrong word,shot 2
mutation sentence,"Portrait shot there of Dennis Hopper , famous for his role in the 1969 film Easy Rider , amongst the Warhol Polaroids donated to USI by the Andy Warhol Foundation for the Visual Arts ."

original sentence,"Experience Moriori culture , experience Rekohu ."
wrong word,experience 5
mutation sentence,"Experience Moriori culture , then experience Rekohu ."



"pos from 名词 to 其他
"


"pos from 数字 to 形容
"


